%x,SRI
0.111867,9.17031e-05
0.124326,0.000157205
0.136791,0.000196507
0.149258,0.000229258
0.161701,0.000353712
0.173402,0.000334061
0.186622,0.000471616
0.198275,0.000635371
0.210751,0.000635371
0.222825,0.000681223
0.235687,0.000694323
0.248125,0.000838428
0.259767,0.00104803
0.272188,0.00125764
0.27879,0.0013559
0.297473,0.0014738
0.309974,0.00137555
0.32168,0.00133624
0.334946,0.00129694
0.347018,0.00134934
0.365273,0.00161135
