%x,UT2
0.11223,0.000196507
0.124687,0.000268559
0.149616,0.000353712
0.162059,0.000478166
0.173362,0.000491266
0.197857,0.000746725
0.210703,0.000818777
0.223181,0.000812227
0.247711,0.000930131
0.258178,0.00115939
0.272542,0.0013952
0.297454,0.00154585
0.322048,0.0014214
0.340371,0.0014214
0.37227,0.00168996
