%x,UT3
0.0686092,2.62009e-05
0.0810746,6.55022e-05
0.118469,0.000189956
0.130526,0.00030131
0.155843,0.000393013
0.167909,0.000471616
0.185813,0.000582969
0.210322,0.000786026
0.235268,0.000805677
0.257056,0.000975983
0.284612,0.00145415
0.309552,0.0015
0.332976,0.00137555
0.360232,0.00150655
0.383536,0.00184716
0.397509,0.00208297
