x,kcs
-0.498811,0.00571429
-0.474162,0.0107143
-0.449514,0.00844156
-0.398919,0.00551948
-0.349622,0.00272727
-0.300324,-0.00162338
-0.24973,-0.00396104
-0.199135,-0.00525974
-0.149838,-0.00551948
-0.100541,-0.00363636
-0.0499459,-0.00142857
-0.000648649,3.46945e-18
0.0499459,0.00025974
0.0992432,-0.000519481
0.149838,-0.00188312
0.200432,-0.00298701
0.24973,-0.00454545
0.299027,-0.00311688
0.349622,-0.00142857
0.398919,0.00123377
0.449514,0.00207792
0.500108,0.00331169
