%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
-0.00386486,0.000676542,-4.117417e-05,0.005938497,-0.000160005,2.097319,5.174433e-05,-0.0001600015,0,0,-0.0001092835,0,2254.864,-2254.578,0.4140569,-0.6900027,0,0,0,-10.54902,1.98484,-4.117417e-05
-0.008275591,0.0002769378,0.000608398,0.7169529,0.001831767,2.094136,0.002522615,0.00182903,0,0,0.0005319594,0,2254.864,-2247.744,-6.118191,-0.2843686,0,0,0,-3.654284,1.98484,0.000608398
-0.01251841,-0.0009659854,0.001187185,-0.5207075,0.00175182,2.092583,0.007218859,0.001739924,0,0,0.0006747755,0,2254.864,-2244.433,-11.9386,0.9855533,0,0,0,-2.669594,1.98484,0.001187185
-0.006205925,0.001008234,0.0001702156,-0.06909311,0.0007450064,2.096207,0.001062448,0.000744565,0,0,0.0002918546,0,2254.864,-2252.188,-1.711727,-0.9770639,0,0,0,-4.638952,1.98484,0.0001702156
-0.002027663,-0.005083511,0.00141827,-8.179785,-0.004891941,2.097002,-0.0001455519,-0.004895534,0,0,0.01447608,0,2254.864,-2253.905,-14.26245,5.421329,0,0,0,12.76982,1.98484,0.00141827
-0.001907627,-0.007789782,0.001283281,-4.514138,-0.004314917,2.097235,-0.0002153093,-0.004317641,0,0,0.009001326,0,2254.864,-2254.402,-12.90497,7.321599,0,0,0,13.12416,1.98484,0.001283281
-0.01631431,-0.001980975,0.001444902,-0.06750646,0.001007161,2.091619,0.01260829,0.0009771559,0,0,0.0007004922,0,2254.864,-2242.424,-14.53027,2.132166,0,0,0,-2.008163,1.98484,0.001444902
-0.01899479,-0.00317449,0.0007711749,-2.106621,-0.003894995,2.096254,0.01716642,-0.003909601,0,0,0.0006264845,0,2254.864,-2252.457,-7.755114,3.363041,0,0,0,-1.345421,1.98484,0.0007711749
-0.01598392,-0.004148018,-0.001721304,-2.457092,-0.009786743,2.108517,0.01366099,-0.009785303,0,0,0.0003791541,0,2254.864,-2278.856,17.30983,4.400716,0,0,0,-0.6743472,1.98484,-0.001721304
-0.004509143,-0.004646046,-0.004298532,2.100199,-0.006039392,2.118666,-0.001067252,-0.006113271,0,0,-0.0001134876,0,2254.864,-2300.688,43.22703,4.845012,0,0,0,-0.001644615,1.98484,-0.004298532
0.0123728,-0.00955335,0.001503808,1.671102,0.0124901,2.094091,-0.0145885,0.0125282,0,0,0.001494636,0,2254.864,-2247.842,-15.12265,10.2265,0,0,0,6.439806,1.98484,0.001503808
0.008380748,-0.01159169,0.004644156,-3.312909,0.01616824,2.08267,-0.002919137,0.01595219,0,0,0.00133805,0,2254.864,-2223.335,-46.7027,11.86753,0,0,0,6.92675,1.98484,0.004644156
0.01228564,-0.0093615,-0.0005413448,9.141446,-0.002184434,2.100143,-0.009147649,-0.002167823,0,0,0.00561795,0,2254.864,-2260.724,5.443888,9.201646,0,0,0,5.952859,1.98484,-0.0005413448
0.01191732,-0.001198558,-0.001249335,12.35465,0.0004239079,2.098106,-0.006936803,0.0005577958,0,0,-0.001637972,0,2254.864,-2256.278,12.5636,3.383709,0,0,0,5.493939,1.98484,-0.001249335
0.01196847,-0.0006123175,-0.001172208,11.42924,0.0004648322,2.097894,-0.006503652,0.000597604,0,0,-0.002136319,0,2254.864,-2255.818,11.78799,2.957811,0,0,0,5.465897,1.98484,-0.001172208
0.003735695,0.02691147,-0.001267525,-5.219322,0.03134566,2.093111,0.001417803,0.03139322,0,0,0.01856118,0,2254.864,-2246.093,12.74652,-27.50942,0,0,0,11.30908,1.98484,-0.001267525
0.001249156,-1.03718e-05,0.001469993,-4.356121,0.003977219,2.092584,0.0001855073,0.003943256,0,0,-0.006953781,0,2254.864,-2244.357,-14.78259,0.2628668,0,0,0,11.796,1.98484,0.001469993
-0.0002887405,-0.01310639,0.001939664,0.2184231,9.595632e-05,2.094525,0.0003401389,7.341796e-05,0,0,-0.002338118,0,2254.864,-2248.577,-19.50571,11.31912,0,0,0,12.28291,1.98484,0.001939664
-0.002027663,-0.005489968,0.00141827,-7.756502,-0.004891941,2.097002,-0.0001455519,-0.004895534,0,0,0.01320653,0,2254.864,-2253.905,-14.26245,5.421329,0,0,0,12.76982,1.98484,0.00141827
-0.004509143,-0.004491101,-0.004298532,1.961854,-0.006039392,2.118666,-0.001067252,-0.006113271,0,0,-0.0001962524,0,2254.864,-2300.688,43.22703,4.845012,0,0,0,-0.001644615,1.98484,-0.004298532
0.003534632,-0.004869565,-0.003614965,1.553361,0.01167996,2.115822,-0.008832248,0.01176059,0,0,-0.0003867671,0,2254.864,-2294.604,36.35292,4.733668,0,0,0,0.3783364,1.98484,-0.003614965
