%x,Curve1,Curve2
-0.501033,0.194652,0.187264
-0.500968,0.194992,0.187849
-0.476172,0.324388,0.410579
-0.475081,0.330076,0.407037
-0.45136,0.34797,0.329961
-0.45036,0.344594,0.326713
-0.426149,0.262819,0.262406
-0.400791,0.16951,0.195055
-0.399856,0.166071,0.19147
-0.37424,0.0590227,0.0931947
-0.348844,-0.0157014,-0.00423393
-0.348364,-0.0171162,-0.00544563
-0.323606,-0.0861649,-0.0678352
-0.298643,-0.133554,-0.130744
-0.298086,-0.134611,-0.131174
-0.248293,-0.163204,-0.169674
-0.248238,-0.163235,-0.169647
-0.199174,-0.144844,-0.144844
-0.150438,-0.0955402,-0.0970791
-0.10054,-0.0569512,-0.0481753
-0.100021,-0.05655,-0.0479832
-0.0513617,-0.0162617,-0.0299639
-0.00294054,-0.00430678,-0.0120329
-0.00123243,-0.00444404,-0.0114004
0.0488806,-0.00847097,-0.0181033
0.0993986,-0.027439,-0.0248603
0.0994203,-0.0274476,-0.0248632
0.150495,-0.0476984,-0.0484242
0.199797,-0.0576215,-0.0711672
0.19991,-0.0576444,-0.0711986
0.249331,-0.0669464,-0.0848593
0.249769,-0.0668704,-0.0849803
0.299276,-0.0582592,-0.0839792
0.299493,-0.0582215,-0.0838501
0.349082,-0.0475614,-0.0543228
0.349617,-0.0472321,-0.0540042
0.398633,-0.0170658,-0.0414088
0.398839,-0.016939,-0.0412695
0.424117,0.00219371,-0.0241692
0.448541,0.0206806,0.00724396
0.448655,0.0207668,0.00760076
0.472469,0.0496076,0.0822397
0.473357,0.0522626,0.085021
0.498463,0.127378,0.162502
0.498766,0.128286,0.163439
