%x,Curve1
-0.500748,0.129116
-0.475556,0.257028
-0.450805,0.308083
-0.425287,0.270656
-0.400332,0.218374
-0.374169,0.153822
-0.348601,0.0905615
-0.324226,0.032466
-0.299259,-0.0256288
-0.248224,-0.100482
-0.19844,-0.141107
-0.149918,-0.14169
-0.0996348,-0.135166
-0.0511511,-0.116374
-0.0020796,-0.0956432
0.0481792,-0.0768484
0.0990322,-0.0593446
0.149879,-0.0386116
0.200741,-0.0256288
0.249828,-0.0126482
0.29953,-0.0119382
0.349247,-0.0183325
0.399557,-0.0253719
0.448642,-0.0117456
0.47347,0.000557766
0.499434,0.0367592
