%x,UT1
0.0639155,8.51528e-05
0.0826051,0.000176856
0.120408,0.000229258
0.157772,0.000471616
0.17687,0.000491266
0.194363,0.000687773
0.232146,0.000818777
0.26905,0.00132969
0.292394,0.0015131
0.307609,0.0014738
0.325953,0.0013952
0.372681,0.00161135
0.407593,0.00228603
