%x,Curve1,Curve2
-0.501197,0.157381,0.154029
-0.500625,0.161028,0.158379
-0.476864,0.312618,0.339198
-0.476786,0.313111,0.339098
-0.45136,0.329034,0.306081
-0.426909,0.266378,0.274331
-0.426288,0.264787,0.272542
-0.40241,0.194736,0.203721
-0.401786,0.192904,0.201804
-0.375454,0.103208,0.12097
-0.350397,0.0245099,0.0440506
-0.350339,0.0243264,0.0439121
-0.325288,-0.0329217,-0.0154767
-0.299686,-0.0881834,-0.0761716
-0.29965,-0.0882606,-0.0762166
-0.248547,-0.144841,-0.140402
-0.248534,-0.144856,-0.140406
-0.198743,-0.160089,-0.154368
-0.198726,-0.160095,-0.154359
-0.149625,-0.136522,-0.127758
-0.101151,-0.105958,-0.101496
-0.101138,-0.10595,-0.101487
-0.0514745,-0.0721961,-0.0659268
-0.00242652,-0.0499211,-0.0308075
-0.00236998,-0.0498955,-0.0307949
0.0479251,-0.0295029,-0.0195683
0.0976258,-0.0161158,-0.00847447
0.0976484,-0.0161097,-0.00847629
0.149181,-0.0135318,-0.0126257
0.199546,-0.0166811,-0.0166811
0.248765,-0.0331927,-0.0370057
0.248777,-0.0331962,-0.0370103
0.297975,-0.0484301,-0.046523
0.297981,-0.0484318,-0.0465246
0.348372,-0.0559482,-0.0604888
0.348952,-0.0560346,-0.0604956
0.399331,-0.064274,-0.0610855
0.399914,-0.0639907,-0.0610923
0.423581,-0.0524899,-0.050897
0.447262,-0.0409818,-0.0457918
0.44784,-0.0407013,-0.0454601
0.473834,-0.0165066,-0.0305282
0.473876,-0.0164367,-0.0305044
0.498003,0.0242299,-0.0752805
0.498895,0.0257335,-0.076936
