%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
0.002628279,-0.00248769,4.692023e-05,84825.27,0,2.097462,0.0001226637,9.697275e-05,0,0,0,0,2254.864,-2254.864,84822.74,2.550131,0,0,0,34.19355,1.48148,-8.434844
0.002167364,-0.002417217,1.545468e-15,114621.9,0,2.097466,-5.869275e-07,7.67096e-05,0,0,0,0,2254.864,-2254.864,114619.4,2.477889,0,0,0,34.19355,1.48148,-11.39785
0.001941507,-0.005358557,0.0006768349,-1.465344,0,2.097523,0.0001207515,-0.0005413118,0,0,0,0,2254.864,-2254.864,-6.806408,5.493057,0,0,0,34.19355,1.48148,0.0006768349
-0.003338084,0.001270745,0,114618.1,0,2.097453,-2.162952e-07,-7.220822e-07,0,0,0,0,2254.864,-2254.864,114619.4,-1.302641,0,0,0,-34.19355,1.48148,-11.39785
-0.003354544,0.001578527,-0.0001630128,0.0166612,0,2.097454,-5.72827e-06,5.082168e-07,0,0,0,0,2254.864,-2254.864,1.639294,-1.618148,0,0,0,-34.19355,1.48148,-0.0001630128
0.0004230916,-0.001452759,9.235556e-16,114620.8,0,2.097516,-1.625998e-06,4.197004e-21,0,0,0,0,2254.864,-2255.002,114619.4,1.489223,0,0,0,10.82225,1.48148,-11.39785
-0.0002134408,-0.001105645,2.238135e-15,114620.3,0,2.097582,-4.558432e-06,-2.125634e-20,0,0,0,0,2254.864,-2255.144,114619.4,1.133396,0,0,0,3.031821,1.48148,-11.39785
0.001029031,-0.001658571,-2.308889e-16,114620.9,0,2.097542,-5.854055e-07,5.359171e-06,0,0,0,0,2254.864,-2255.058,114619.4,1.700201,0,0,0,18.61269,1.48148,-11.39785
-0.00101487,-0.0008001907,9.235556e-16,114619.5,0,2.09778,2.136392e-06,1.440999e-20,0,0,0,0,2254.864,-2255.569,114619.4,0.8202755,0,0,0,-1.173661e-16,1.48148,-11.39785
-0.00176937,-0.000496794,9.235556e-16,114619.5,0,2.097654,5.631787e-06,6.504279e-20,0,0,0,0,2254.864,-2255.297,114619.4,0.5092635,0,0,0,-2.667104,1.48148,-11.39785
-0.002942641,0.0002803553,-1.385333e-15,114619,0,2.097536,4.01031e-06,-1.130923e-21,0,0,0,0,2254.864,-2255.043,114619.4,-0.2873922,0,0,0,-10.54872,1.48148,-11.39785
-0.003204694,0.0007611095,1.314579e-15,114618.6,0,2.097463,8.866264e-08,-6.868274e-07,0,0,0,0,2254.864,-2254.888,114619.4,-0.7802134,0,0,0,-18.43033,1.48148,-11.39785
0.0009097654,0.004922564,-0.0007534476,2.257257,-0.0008239967,2.09758,0.0001555761,-0.0008237028,0,0,-0.0005306191,0,2254.864,-2255.139,7.576843,-5.046556,0,0,0,26.40674,1.48148,-0.0007534476
0.001907599,-0.002178527,0,114621.5,0,2.097509,3.288857e-07,-2.179244e-06,0,0,0,0,2254.864,-2254.991,114619.4,2.233208,0,0,0,26.40312,1.48148,-11.39785
-0.003274137,0.00137446,-0.0001423158,-0.01874448,1.2451e-05,2.097471,-6.059133e-06,1.245121e-05,0,0,8.558654e-06,0,2254.864,-2254.905,1.431161,-1.408432,0,0,0,-26.31196,1.48148,-0.0001423158
-0.003133925,0.0007474083,-8.052171e-05,0.03923818,6.475354e-05,2.097454,-7.149067e-06,6.475322e-05,0,0,3.866564e-05,0,2254.864,-2254.868,0.8097449,-0.7680125,0,0,0,-18.43039,1.48148,-8.052171e-05
