%x,Curve1
-0.100089,0.000372093
-0.077847,0.000372093
-0.0711744,0.00055814
-0.0511566,0.000651163
-0.0311388,0.000837209
-0.0133452,0.0012093
0.0044484,0.0015814
0.0200178,0.00204651
0.0378114,0.00232558
0.0578292,0.00269767
0.0733986,0.00306977
0.0911922,0.00344186
0.108986,0.00390698
0.124555,0.00437209
0.131228,0.00530233
0.135676,0.00604651
0.151246,0.00530233
0.157918,0.00465116
0.162367,0.00372093
0.166815,0.00288372
0.171263,0.00204651
0.175712,0.00111628
0.186833,-0.00102326
0.193505,-0.00186047
0.197954,-0.00260465
0.204626,-0.00353488
0.209075,-0.00437209
0.213523,-0.0052093
0.224644,-0.00595349
0.231317,-0.0064186
0.244662,-0.00697674
0.26468,-0.0067907
0.273577,-0.00595349
0.278025,-0.00511628
0.282473,-0.00427907
0.289146,-0.00344186
0.293594,-0.00260465
0.298043,-0.00176744
0.30694,-0.00027907
0.320285,9.30233e-05
0.329181,-0.00027907
0.346975,-0.000651163
0.369217,-0.000837209
0.387011,-0.00102326
0.407028,-0.0012093
0.427046,-0.00148837
0.447064,-0.00176744
0.464858,-0.00204651
0.4871,-0.00223256
0.509342,-0.00223256
0.531584,-0.00223256
0.553826,-0.00223256
0.573843,-0.0024186
0.596085,-0.0024186
0.618327,-0.0024186
0.640569,-0.00251163
0.662811,-0.00251163
0.685053,-0.00251163
0.705071,-0.0024186
0.727313,-0.0024186
0.749555,-0.00223256
0.765125,-0.00186047
0.782918,-0.00148837
0.80516,-0.00139535
0.825178,-0.0012093
0.845196,-0.00102326
0.862989,-0.000651163
0.880783,-0.000372093
0.88968,-9.30233e-05
0.911922,9.30233e-05
0.91637,0.000372093
0.936388,0.000744186
0.954181,0.00111628
0.971975,0.00148837
0.989769,0.00204651
1.00534,0.0024186
1.02313,0.0027907
1.04315,0.00306977
1.06539,0.00306977
1.08541,0.00288372
1.10765,0.00288372
1.12767,0.00306977
1.13879,0.00372093
1.14769,0.00455814
1.16326,0.00493023
1.17883,0.00372093
1.18772,0.00297674
1.1944,0.00223256
1.20107,0.00139535
1.22109,-0.00055814
1.23221,-0.00139535
1.24555,-0.00195349
1.2589,-0.00260465
1.27669,-0.00297674
1.29448,-0.00325581
1.3145,-0.00306977
1.3323,-0.00269767
1.35009,-0.00223256
1.36566,-0.00167442
1.38345,-0.0012093
1.3968,-0.000651163
1.41459,0.000372093
1.43238,0.000744186
1.44795,0.0012093
1.46575,0.00167442
1.47909,0.00232558
1.49911,0.00260465
1.51913,0.00269767
1.53915,0.0024186
1.55694,0.00204651
1.57473,0.00167442
1.59253,0.00130233
1.61032,0.000837209
1.62811,0.000465116
1.6637,-0.000372093
1.67927,-0.000837209
1.69929,-0.00102326
1.71931,-0.00130233
1.73932,-0.00148837
1.75712,-0.00186047
1.77936,-0.00186047
1.79493,-0.00148837
1.81495,-0.00130233
1.83496,-0.00102326
1.85053,-0.000651163
1.87278,-0.000465116
1.90614,0.000372093
1.92616,0.000744186
1.94395,0.00102326
1.96397,0.0012093
1.98399,0.00139535
2.00623,0.00148837
2.02847,0.00148837
2.04849,0.00139535
2.06628,0.00102326
2.0863,0.000837209
2.10409,0.000465116
2.15525,-0.00027907
2.17749,-0.000465116
2.19306,-0.000837209
2.21085,-0.0012093
2.2331,-0.0012093
2.25534,-0.0012093
2.27536,-0.00102326
2.2976,-0.00102326
2.31762,-0.000837209
2.33541,-0.000465116
2.35765,-0.000372093
2.39991,0.000372093
2.42215,0.000465116
2.44217,0.000651163
2.45996,0.000837209
2.48221,0.00102326
2.50445,0.00102326
2.52447,0.000930233
2.54671,0.000837209
2.56673,0.000651163
2.58674,0.000465116
