%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
-0.007237929,0.001019687,0.0003671673,0.7150429,0.0009871591,2.094914,0.0005732451,0.0009860419,0,0,0.0003645143,0,2254.864,-2249.411,-3.692319,-1.064596,0,0,0,-4.63928,0.98384,0.0003671673
-0.01118421,0.0001964574,0.001145167,-0.04893151,0.003086696,2.092015,0.002652467,0.003078551,0,0,0.000575932,0,2254.864,-2243.195,-11.51607,-0.2601328,0,0,0,-3.655191,0.98384,0.001145167
-0.005639839,0.001341159,0.0001143721,-0.1848032,0.0008005154,2.096363,9.963033e-05,0.0008003003,0,0,0.0002090246,0,2254.864,-2252.523,-1.150153,-1.354199,0,0,0,-5.624,0.98384,0.0001143721
-0.004804778,0.001501473,-6.161891e-05,0.1668834,0.0001050898,2.096947,8.588118e-05,0.0001050841,0,0,4.245298e-05,0,2254.864,-2253.777,0.619654,-1.509492,0,0,0,-6.608772,0.98384,-6.161891e-05
0.001809358,0.006033187,-0.00236711,10.23726,0.01461028,2.100829,0.000701637,0.01464547,0,0,2.500788e-06,0,2254.864,-2262.234,23.80421,-6.911725,0,0,0,11.80293,0.98384,-0.00236711
-0.0008677948,0.007208765,0.000695654,-9.467445,-0.001031023,2.095162,-0.0002585645,-0.001037381,0,0,0.0005551978,0,2254.864,-2249.937,-6.995657,-4.463801,0,0,0,12.77721,0.98384,0.000695654
-0.01501677,-0.0005096167,0.002319274,1.817258,0.007721252,2.085953,0.004730189,0.007680916,0,0,0.0007104074,0,2254.864,-2230.245,-23.32315,0.4195624,0,0,0,-3.16359,0.98384,0.002319274
-0.0223811,-0.0009667121,0.003937713,-1.690719,0.0075233,2.080144,0.01438144,0.007396856,0,0,0.0007691128,0,2254.864,-2217.931,-39.59855,0.9938284,0,0,0,-2.672181,0.98384,0.003937713
-0.01118421,0.0004720979,0.001145167,-0.3314886,0.003086696,2.092015,0.002652467,0.003078551,0,0,0.0005256743,0,2254.864,-2243.195,-11.51607,-0.2601328,0,0,0,-3.655191,0.98384,0.001145167
-0.01661041,-0.007598946,0.006538994,-0.2073694,-0.03811146,2.069924,-0.02971374,-0.03774409,0,0,-0.004104059,0,2254.864,-2196.881,-65.75763,10.46165,0,0,0,9.36587,0.98384,0.006538994
-0.02271264,-0.006665987,0.001201124,-2.171426,-0.01804446,2.095927,-0.006037584,-0.01799917,0,0,-0.004396046,0,2254.864,-2251.775,-12.07878,7.091242,0,0,0,9.85349,0.98384,0.001201124
-0.01451551,-0.008112062,0.006977787,0.09813677,-0.03603374,2.067984,-0.02690923,-0.03564463,0,0,-0.004020091,0,2254.864,-2192.706,-70.17023,10.85313,0,0,0,9.310293,0.98384,0.006977787
-0.01911774,-0.002450111,-0.002728525,1.123192,-0.02048885,2.110735,-0.001079411,-0.02053778,0,0,-0.003697907,0,2254.864,-2283.746,27.43868,1.913296,0,0,0,10.34099,0.98384,-0.002728525
-0.01166267,0.005913116,-0.005362535,8.033495,-0.006989684,2.115824,0.008272646,-0.006988821,0,0,-0.001908008,0,2254.864,-2294.552,53.92689,-6.051007,0,0,0,10.82838,0.98384,-0.005362535
-0.004433215,0.007571029,-0.004023462,5.720005,0.002515322,2.109941,0.0053309,0.00258342,0,0,-0.003119186,0,2254.864,-2281.871,40.46087,-7.189319,0,0,0,11.31569,0.98384,-0.004023462
0.001809358,0.005375113,-0.00236711,10.91312,0.01461028,2.100829,0.000701637,0.01464547,0,0,-0.0001743084,0,2254.864,-2262.234,23.80421,-6.911726,0,0,0,11.80293,0.98384,-0.00236711
0.01245535,0.005174714,0.005461457,1.48055,-0.003586263,2.068541,-0.002193922,-0.003553125,0,0,0.0002478815,0,2254.864,-2193.109,-54.92167,-5.277957,0,0,0,3.761098,0.98384,0.005461457
0.005725994,0.004946694,0.004999759,-2.244462,-0.006479134,2.072542,0.0129121,-0.00647693,0,0,0.0005314356,0,2254.864,-2201.725,-50.27874,-5.050154,0,0,0,4.004665,0.98384,0.004999759
0.01940729,0.005165056,0.005789998,-0.5989928,-0.006848108,2.067907,-0.01597925,-0.006563556,0,0,-9.14881e-05,0,2254.864,-2191.927,-58.22555,-5.265743,0,0,0,3.517522,0.98384,0.005789998
0.02020403,0.005134805,0.005830697,-0.7294375,-0.006438853,2.067772,-0.01760659,-0.006141207,0,0,-0.0001391912,0,2254.864,-2191.678,-58.63484,-5.237426,0,0,0,3.492755,0.98384,0.005830697
0.0004519714,0.004521909,0.003513885,0.2360986,-0.01743092,2.078382,0.0277085,-0.01738836,0,0,0.001119715,0,2254.864,-2214.605,-35.33644,-4.858493,0,0,0,4.248201,0.98384,0.003513885
-0.002767537,0.004040955,0.00115737,-1.14522,-0.02050157,2.090315,0.0290185,-0.02056519,0,0,0.001542606,0,2254.864,-2240.122,-11.63878,-4.35503,0,0,0,4.491731,0.98384,0.00115737
-0.00280072,0.004066155,0.0006477219,-0.9234222,-0.02183305,2.092553,0.03009006,-0.02190339,0,0,0.00162985,0,2254.864,-2245.017,-6.513641,-4.292177,0,0,0,4.534865,0.98384,0.0006477219
-0.003102717,0.004008473,-0.001707192,-1.002879,-0.02647639,2.103522,0.03377118,-0.02646566,0,0,0.00174201,0,2254.864,-2268.841,17.16792,-3.735918,0,0,0,4.735251,0.98384,-0.001707192
0.0002330304,0.002638036,-0.004459197,1.724535,-0.0199405,2.115819,0.02893916,-0.020651,0,0,0.00171648,0,2254.864,-2295.318,44.84271,-2.753063,0,0,0,4.978762,0.98384,-0.004459197
0.01754557,0.0005810098,-0.0115023,0.1765165,-0.03911589,2.149717,-0.01347974,-0.04090888,0,0,0.002473324,0,2254.864,-2369.132,115.6698,-0.4353556,0,0,0,5.465787,0.98384,-0.0115023
